"EbeneNice";"PosTyp";"id_stu";"FA_Nr";"id_pos";"ueb_s_nr";"ds";"pos_nr";"verurs_art";"t_tg_nr";"oa";"Bezeichnung";"unipps_typ";"besch_art";"praeferenzkennung";"menge";"sme";"faktlme_sme";"lme";"bestell_id";"bestell_datum";"preis";"basis";"pme";"bme";"faktlme_bme";"faktbme_pme";"lieferant";"kurzname";"MengeTotal";"PreisEU";"PreisNonEU";"SummeEU";"SummeNonEU";"vk_netto"
"...4";"FA_Pos";"616034";"0";63;1;3;630;0;"920AA0016SAA000";1;"Sechskantmutter";"M16";0;0;4;1;1;1;59065;14.07.1905;15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;0
"...4";"FA_Pos";"616034";"0";64;1;3;640;0;"920CA0012SAA000";1;"Sechskantmutter";"M12";0;0;6;1;1;1;58564;14.07.1905;10,2;1;30;1;1;0,01;3230430;"WASI";6;0;0,612;0;0,612;0
"...4";"FA_Pos";"616034";"0";65;1;3;650;0;"920CA0012SAA000";1;"Sechskantmutter";"M12";0;0;6;1;1;1;58564;14.07.1905;10,2;1;30;1;1;0,01;3230430;"WASI";6;0;0,612;0;0,612;0
"...4";"FA_Pos";"616034";"0";66;1;3;660;0;"920AB0012SAA000";1;"Sechskantmutter";"M12";0;0;2;1;1;1;59353;14.07.1905;5,51;1;30;1;1;0,01;3130200;"NORM";2;0;0,1102;0;0,1102;0
"...4";"FA_Pos";"616034";"0";67;1;3;670;0;"920CA0012SAA000";1;"Sechskantmutter";"M12";0;0;1;1;1;1;58564;14.07.1905;10,2;1;30;1;1;0,01;3230430;"WASI";1;0;0,102;0;0,102;0
"..3";"FA_Pos";"616034";"0";68;0;1;680;0;"G-003-006-A2";0;"Vorlage Grundplatten";"32-200 / 90L";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;275,07;4,7314;0
"...4";"FA_Pos";"616034";"0";69;68;3;690;0;"554GA0130SAA000";1;"Unterlegscheibe";"A13";0;0;4;1;1;1;58715;14.07.1905;3,76;1;30;1;1;0,01;3160010;"REYHER";4;0;0,1504;0;0,1504;0
"...4";"FA_Pos";"616034";"0";70;68;3;700;0;"554GA0130SAA000";1;"Unterlegscheibe";"A13";0;0;2;1;1;1;58715;14.07.1905;3,76;1;30;1;1;0,01;3160010;"REYHER";2;0;0,0752;0;0,0752;0
"...4";"FA_Pos";"616034";"0";71;68;3;710;0;"554FA0084SAA000";1;"Unterlegscheibe";"A8,4";0;0;4;1;1;1;56654;13.07.1905;0,77;1;30;1;1;0,01;3220150;"VVE";4;0;0,0308;0;0,0308;0
"...4";"FA_Pos";"616034";"0";72;68;3;720;0;"554IA0170SAA000";1;"Unterlegscheibe";"A17";0;0;4;1;1;1;59017;14.07.1905;5,99;1;30;1;1;0,01;3160010;"REYHER";4;0;0,2396;0;0,2396;0
"...4";"FA_Pos";"616034";"0";73;68;1;730;0;"681I30141STA519";1;"Kupplungsschutz";"NE-Grße 1";0;0;2;1;1;1;;;;;;;;;;"";2;0;0;30,24;0,9576;0
"....5";"FA_Pos";"616034";"0";74;73;3;740;0;"681B30141STA019";1;"Kupplungsschutz";"NE-Grße 1";0;1;2;1;1;1;56787;13.07.1905;7,56;1;1;1;1;1;3100430;"KNIGGE";4;30,24;0;30,24;0;0
"....5";"FA_Pos";"616034";"0";75;73;3;750;0;"901HB0008SAB016";1;"Sechskantschraube";"M8x16";0;0;4;1;1;1;58889;14.07.1905;9,24;1;30;1;1;0,01;3160010;"REYHER";8;0;0,7392;0;0,7392;0
"....5";"FA_Pos";"616034";"0";76;73;3;760;0;"554DG0084SAB000";1;"Unterlegscheibe";"Ø8,4";0;0;4;1;1;1;55884;13.07.1905;2,73;1;30;1;1;0,01;3230430;"WASI";8;0;0,2184;0;0,2184;0
"....5";"FA_Pos";"616034";"0";77;73;3;770;0;"554AL0082PAM016";1;"Nob-Unverlierbarkeit";"";0;0;4;1;1;1;;;;;;;;;;"";8;0;0;0;0;0
"...4";"FA_Pos";"616034";"0";78;68;3;780;0;"810A30440STA119";1;"Motorplatte";"Motor 90L; 100L; 112";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;10,58;0;0
"....5";"FA_Serie";"810A30440STA119";"620391";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;10,58;0;0
".....6";"FA_Pos";"620391";"0";1;0;3;10;0;"EPL300X290X10";1;"Platte";"300X290X10mm";0;1;1;1;1;1;57093;13.07.1905;10,58;1;1;1;1;1;3230820;"WASSERMANN";1;10,58;0;10,58;0;0
"...4";"FA_Pos";"616034";"0";79;68;3;790;0;"890L30031GGB019";1;"Grundplatte";"Grße 3";0;1;1;1;1;1;59270;14.07.1905;225,13;1;1;1;1;1;4170080;"SAPAL";1;225,13;0;225,13;0;0
"...4";"FA_Pos";"616034";"0";80;68;3;800;0;"901FB0012SAA030";1;"Sechskantschraube";"M12x30";0;0;4;1;1;1;58207;14.07.1905;22,41;1;30;1;1;0,01;3160010;"REYHER";4;0;0,8964;0;0,8964;0
"...4";"FA_Pos";"616034";"0";81;68;3;810;0;"901IB0012SAA025";1;"Sechskantschraube";"M12x25";0;0;2;1;1;1;58657;14.07.1905;20,77;1;30;1;1;0,01;3230430;"WASI";2;0;0,4154;0;0,4154;0
"...4";"FA_Pos";"616034";"0";82;68;3;820;0;"901LB0008SAA025";1;"Sechskantschraube";"M8x25";0;0;4;1;1;1;59119;14.07.1905;10,5;1;30;1;1;0,01;3170170;"SN";4;0;0,42;0;0,42;0
"...4";"FA_Pos";"616034";"0";83;68;3;830;0;"909BA0016SAA110";1;"Gewindebolzen";"M16x110";0;1;4;1;1;1;58830;14.07.1905;228;1;30;1;1;0,01;3170170;"SN";4;9,12;0;9,12;0;0
"...4";"FA_Pos";"616034";"0";84;68;3;840;0;"920AA0016SAA000";1;"Sechskantmutter";"M16";0;0;4;1;1;1;59065;14.07.1905;15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;0
"...4";"FA_Pos";"616034";"0";85;68;3;850;0;"920AA0016SAA000";1;"Sechskantmutter";"M16";0;0;4;1;1;1;59065;14.07.1905;15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;0
"...4";"FA_Pos";"616034";"0";86;68;3;860;0;"920KB0016SAA000";1;"Sechskantmutter";"M16";0;0;4;1;1;1;54223;12.07.1905;7,05;1;30;1;1;0,01;3230430;"WASI";4;0;0,282;0;0,282;0
"..3";"FA_Pos";"616034";"0";87;0;1;870;0;"K-H05-2424-A-01";0;"Vorlage Kupplungstei";"Flender o. gleichw.";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;44,67;0
"...4";"FA_Pos";"616034";"0";88;87;1;880;0;"840IH2424GGB005";1;"Kupplung";"z.B.Rathi";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;44,67;0
"....5";"FA_Pos";"616034";"0";89;88;3;890;0;"860EH0182GGB124";1;"Paketteil";"z.B.Rathi";0;0;1;1;1;1;55769;12.07.1905;9,53;1;1;1;1;1;3160120;"RATHI D";1;0;9,53;0;9,53;0
"....5";"FA_Pos";"616034";"0";90;88;3;900;0;"860CH0304GGB124";1;"Flanschteil";"z.B.Rathi";0;0;1;1;1;1;53408;11.07.1905;10,15;1;1;1;1;1;3160120;"RATHI D";1;0;10,15;0;10,15;0
"....5";"FA_Pos";"616034";"0";91;88;3;910;0;"860HH0505GGB000";1;"Zwischenhlse";"z.B.Rathi";0;0;1;1;1;1;58241;14.07.1905;18,25;1;1;1;1;1;3160120;"RATHI D";1;0;18,25;0;18,25;0
"....5";"FA_Pos";"616034";"0";92;88;3;920;0;"860GH0404GGB000";1;"Klauenteil";"z.B.Rathi";0;0;1;1;1;1;54788;12.07.1905;6,74;1;1;1;1;1;3160120;"RATHI D";1;0;6,74;0;6,74;0
"..3";"FA_Pos";"616034";"0";93;0;3;970;0;"970H31036SXB069";1;"Typenschild Pumpen";"alle Typen";0;0;1;1;1;1;53357;11.07.1905;115,8;1;30;1;1;0,01;3150040;"PINTER";1;0;1,158;0;1,158;0
"..3";"FA_Pos";"616034";"0";94;0;1;925;0;"V-N-03-02-01";0;"Vorlage Verankerungs";"Gampper D75";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;46,3792;0
"...4";"FA_Pos";"616034";"0";95;94;3;930;0;"554IA0170SAA000";1;"Unterlegscheibe";"A17";0;0;8;1;1;1;59017;14.07.1905;5,99;1;30;1;1;0,01;3160010;"REYHER";8;0;0,4792;0;0,4792;0
"...4";"FA_Pos";"616034";"0";96;94;3;940;0;"909K31240SAA019";1;"Stellschraube";"M16x150";0;0;4;1;1;1;59143;14.07.1905;468;1;30;1;1;0,01;3080610;"HILGENBERG";4;0;18,72;0;18,72;0
"...4";"FA_Pos";"616034";"0";97;94;3;950;0;"920AA0016SAA000";1;"Sechskantmutter";"M16";0;0;8;1;1;1;59065;14.07.1905;15,8;1;1;1;1;0,01;3160010;"REYHER";8;0;1,264;0;1,264;0
"...4";"FA_Pos";"616034";"0";98;94;3;960;0;"980GE0001SXB000";1;"Nivellierelement";"D75";0;0;4;1;1;1;58773;14.07.1905;6,82;1;1;1;1;1;3070400;"GAMPPER";4;0;25,916;0;25,916;0
".2";"FA_Komm";"142567";"616163";2;0;0;2;2;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;0;0;0
"..3";"FA_Pos";"616163";"0";1;0;3;10;0;"233H23538PERN03";1;"Linkslaufrad, halbof";"32+40+50-200";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0;0
"...4";"FA_Serie";"233H23538PERN03";"617271";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;0;0;0
"....5";"FA_Pos";"617271";"0";1;0;3;10;0;"233D23538PERF03";1;"Linkslaufrad, halbof";"32+40+50-200";0;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;0;0
".....6";"Teil";"233D23538PERF03";"0";10;0;0;10;0;"544C30439NKM019";1;"Gewindebuchse";"Grße 1";0;0;1;1;1;1;53670;11.07.1905;8,89;1;1;1;1;1;3170610;"SIPS";1;0;0;0;0;0
"1";"KA_Pos";"142567";"0";3;0;0;3;0;"800EK2201090010";1;"Motor";"";1;0;1;1;1;1;58320;14.07.1905;183;1;1;1;1;1;3230420;"WEG";1;0;145,85;0;145,85;0
"1";"KA_Pos";"142567";"0";4;0;0;4;0;"800EK2201090020";1;"Motor";"";1;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0;0
